Operating on 64 clusters.

Iteration, World Size, coordsPerRank, # Samples, Iteration RunTime (Sec), Pi Value
1, 512, 10,  5120,  0.005447,  3.15381
2, 512, 100,  51200,  0.008373,  3.14011
3, 512, 1000,  512000,  0.009719,  3.14331
4, 512, 10000,  5.12e+06,  0.006673,  3.14133
5, 512, 100000,  5.12e+07,  0.006666,  3.14157
6, 512, 1000000,  5.12e+08,  0.005746,  3.14169
7, 512, 10000000,  5.12e+09,  0.006254,  3.14163
8, 512, 100000000,  5.12e+10,  0.007856,  3.14158
9, 512, 1000000000,  5.12e+11,  0.006273,  3.14159

Total Time (sec): 0.078105
